game_id,dealer_cards,player_cards,outcome
1,8_S 5_C Q_C,10_H 2_S 3_S,true
2,7_H 9_S,6_S 7_C J_S,false
3,5_S 6_H 8_C,7_S 7_H A_D A_S K_H,dealer wins
4,3_D 9_H A_S K_H,6_S K_D,player wins
5,7_D A_S,7_S 2_S 5_C 8_H,dealer wins
6,4_H Q_C 10_C,5_S J_D 6_H,player wins
7,"9 of Diamonds ,8 of Hearts","10 of Hearts ,6 of Clubs ,Queen of Diamonds",dealer wins
8,"2 of Diamonds ,Queen of Hearts ,Jack of Spades","8 of Hearts ,Jack of Diamonds",player wins
9,"9 of Diamonds ,6 of Spades","King of Hearts ,7 of Diamonds ,10 of Hearts",dealer wins
10,"Queen of Clubs ,Jack of Hearts","6 of Hearts ,7 of Spades ,10 of Clubs",dealer wins
11,"Jack of Clubs ,Queen of Spades","3 of Diamonds ,King of Hearts ,King of Clubs",dealer wins
12,"Ace of Hearts ,9 of Spades ,Jack of Diamonds ,Jack of Clubs","Ace of Diamonds ,8 of Hearts",player wins
